CellLine,ContinousSensitivity,Mutation_Status,Drug,AKT308,AKT473,ATF2,AXL,bCATENIN,CHK1,CHK2,cJUN,cKIT,cMET,cRAF,EGFR,ERK_MAPK,FAK,FGFR1,FGFR2,FGFR3,FLT3,GSK3a,GSK3B,HER2,HER3,HER4,HSP27,HSP27_total,IGF1R,IGF1R_panTYR,IR,IR_panTYR,IRS1,JAK1,JNK,LCK,MEK1,MSK1,mTOR,NFkB,p38,p53,p70S6K,PDGFRa,PDGFRb,PRAS40,PTEN,Rb,RET,RPS6,SRC,STAT1,STAT3,STAT5A_B,TSC2,VEGFR2
H23,0.056940608,KRAS_mutant,AZD5363 ,5.940935873,3.383567815,0,0.123964018,0.135549478,0,0,0,0,0,0.274902062,0,0.824057642,0.306874801,0.378709111,0.267467843,0.3706532,0,0,0.194276426,-0.129624127,0.25760557,0,0.53348551,0.118694318,0,0.464144271,0,0,0.31991978,0,0.19459013,0.263709616,0.836172727,0.733166747,0.224396847,-0.134752036,0.845024102,0,0.421596717,0,0.143819252,-0.528773818,0.347896556,0.425493679,0.276309653,-0.180772819,0.28873373,0,0.126647679,-0.161099135,-0.740440055,-0.456208584
H2347,1,KRAS_mutant,AZD5363 ,3.96608558,1.981906016,0.411472549,-0.508952782,-0.548815802,-0.425168805,-0.516286463,0.658595765,0,0,-0.564012465,0,1.334020604,-0.734687873,-0.807724584,-0.538231052,-0.626543175,0,0,0,0,0,0,0.257630267,-0.493047664,0,0,0,0,0,-0.997961156,0,-0.575762131,0,1.127569727,0,-0.73404679,0.296924154,0.36675739,0,-0.295287277,0.887760826,-1.230022677,0,-0.429294455,-0.46183868,-1.077397673,-0.684683995,0,0.665891502,0,-1.579648525,0
H3122,0.030460682,Wild_type,AZD5363 ,4.937531818,1.887970377,-0.365933843,-0.334649471,0,-0.285722567,-0.303974376,0,0,-0.376118245,-0.279445974,0,0.611808922,-0.076354109,0,-0.298855706,-0.28759048,-0.353663395,-0.36258509,-0.609844129,-0.500088614,-0.231892502,0,0.513833763,0,0,0,0.408837292,-0.491868106,0,0,0,-0.209411774,0.720262941,0.576995367,0.446738145,-0.234409486,0.414747635,0,0,-0.196766912,0,0,0.239582053,-0.325485429,-0.22145417,-2.376556289,0,0,0,0,0,-0.189032693
H358,0.174533747,KRAS_mutant,AZD5363 ,5.610744694,3.524000461,-0.266212647,0.377418408,0,0,0,0,0,0,0,0,0,0,0.488689138,0.479133976,0,0,0,-0.984608942,0,0,0,0,0,0,0.31202399,0,0,0,0,0,0.348794868,0,0.578810531,0,0,0,0,0.261860417,0,0,-1.339339736,0,0,0,-1.074228974,-0.148202283,0,0,0,0,0
H441,0.014204463,KRAS_mutant,AZD5363 ,5.199450349,3.556341034,0.780280535,0,0,-0.289455463,-0.236516315,0.196635333,0,0,0,0,1.514340993,0,0,0,0,0,0,0,0.421914107,0.18728771,0,1.500120823,-0.22653095,-0.270167529,0,0,-0.124005216,0.459359849,0.369779256,0.412678786,0,1.638031459,1.473038015,0,0,1.34279735,0,0.441490012,-0.329877453,-0.335176174,0,0,-0.276562539,0,-1.300438569,-0.12990728,0,0.110590716,0.192915201,0,0
H522,0.278197043,Wild_type,AZD5363 ,5.409701149,3.624123983,-0.769737365,0,0,0,0,-0.179017848,-0.449213123,0.784406554,0,1.285173927,1.396559021,0,0,0.23306561,0,0,-1.231490811,-0.703059197,0.39862013,0.551521759,0.496246363,-0.274487135,0,0,0.435481727,0,0,0,0.809083783,0.356509152,0,0.420941609,0.680434625,0.190636853,-0.493839102,0,0.283648073,1.295143407,0,0.296511471,0.409645291,0.172129084,0.208721867,0,-1.501546654,0,0,0,0,-0.795918915,0
H820,0.179765374,EGFR_mutant,AZD5363 ,5.917360811,2.687196782,0,0.165662887,0,0,0,0,0,0,0,0,0.980678621,0,0,0.11634388,0,0,0,-0.258759148,0.302757005,0,0,0.356987565,-0.234647047,0,0,-0.221731637,0.518944276,0,-0.819775459,-0.098824214,-0.016528977,0.920831992,0.320518444,0,-0.360312737,1.216233112,0,0.257780689,0,0,-0.660322171,0.400533564,-0.157308153,0,-1.335799175,0.271264457,0,0.188373567,0,-0.503951694,0
HCC2935,0.009455613,EGFR_mutant,AZD5363 ,3.560710616,0.999225633,0,-0.538782701,-0.539849021,-0.860982391,-0.514946236,-1.100526778,0,0,-0.780665387,-0.508611789,0.402651897,-0.569960337,-0.645716827,-0.783321393,-0.777629384,0,-0.549126834,-0.934044988,-0.448587081,-0.517492918,0,1.760364158,-0.164332541,0,0,0,0,0.50766056,-0.932594445,0.610928532,-0.881879439,0.771753676,1.435947618,0.214191207,-0.49957101,0.972885889,0.330503989,-0.910572996,0,-0.779963045,-1.766908513,0.08098439,-0.619356427,-0.865771215,-5.375644095,0,0,0,0,-0.266893957,-0.399044134
HCC4006,0.16416975,EGFR_mutant,AZD5363 ,6.315581237,1.926087734,0,0.768836464,0.342597676,0.582033065,0.397588239,-0.508438135,0,0.313121899,0.420692625,0.417591165,0.784122644,0.228720752,0.207532733,0.640020889,0.373466993,0,0.778212265,0.491457397,0.228444184,0.414050808,0,0,0,0,0,-0.373701328,-0.460636158,0,0,0,0.545559769,1.04441506,1.486054276,0.404215988,-0.469174326,1.042364431,-0.400076385,0,0,0,0,0.179348779,0.151661878,0.51403148,-2.619589922,0,-0.287607918,0.180387747,0,0,0
HCC44,0.051352291,KRAS_mutant,AZD5363 ,4.957099829,2.682834395,-0.64335031,0,-0.181722251,0,0,0,0,0,0,0.862602983,0.773156043,0,0,0,0,0,-0.611406747,-0.419686624,0,0,-0.88911724,0,-0.079620155,0,0,0,0,0,0,0,0,1.10597001,0.795322748,0.387306373,-0.26996962,0.923883696,0.25527267,0.38782245,0,0,-1.093887836,-0.609045158,0,0,-2.4297121,0,0,-0.155103452,0,-1.394157365,0
HCC827,0.207765177,EGFR_mutant,AZD5363 ,3.890382931,2.107348139,-0.528711929,0,0,0,0,-1.084288503,-0.501086596,0,0,-0.258489937,0,0,0,0,0,0,-0.186771685,0,-0.274779124,-1.574259999,0,0,0,0,0,0,-0.660951807,0.532435858,0,0.114549934,0,0.214596851,0,0.324093282,0,0,-0.143518487,-1.167399331,-0.401864585,-0.628990852,-0.891564735,1.32524973,0,0,-2.255873966,0.445894039,-1.136452172,0,0,0,0
PC9,0.044758614,EGFR_mutant,AZD5363 ,2.523029784,1.871941737,0,0.068409111,0,0,0.099385424,-1.070130811,0,0,0,-2.097980466,-0.421032664,0.255558185,0.148990059,0,0.097281121,0,-0.819136203,-0.906159606,-0.588426083,-1.629984145,0,0,-0.06735611,0,-0.319334166,0,-1.015737894,-0.984885876,0.378806893,0,0.127606509,-1.481255724,0,0,0,0,0,-1.355334494,0,-0.481933433,-1.995579677,0,0,0,-1.583990704,0.302890426,0,0,0,-1.469739717,0
SKLU1,0.911417986,KRAS_mutant,AZD5363 ,3.252334822,3.313195389,0,0,0.146484483,0,0.341388292,0,-0.541601951,0,0.1544076,0,0.172710311,0,0,0.294339444,0.255281514,0,0,-0.73564793,0,0.518174486,0,0.576626466,0,0,0,0,-0.83307436,0,0,0.424045149,0.433275634,0,0,0,0,0,0,1.066268705,0,-0.414870274,0,0,0.275204386,0.388331603,0,0,0,0.815855035,0.281879098,0,0
A549,0.254901961,KRAS_mutant,Everolimus,0,0,0,0.249475378,0,0.389372247,0,0,0,0,0.436308017,0,0,0.339126337,0.246266142,0.333246298,0.382412,0,0,0,0,0,0,0,0.080816395,0.440508005,0.231715505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226815818,0,0,0.294269752,-0.970198313,0,0,0,0.122821344,0,0
CORL105,0.156862745,Wild_type,Everolimus,1.657073601,2.170975768,0.279133005,0.332735851,0,0,0,0.268097053,0,-0.517795481,0.093780782,0,-0.7590812,0,0.175318151,0,0.327852458,0,1.135646757,1.063921835,0,0,-0.434668968,-0.19297599,0.423156174,0,0,0,-1.034278244,0,-0.439101931,0,0.24785626,0.666608989,0,0.904731662,0,0.250582523,0.579673468,0,0,-0.49909708,0,0.719985435,0,0.144071278,0,0.418046488,0.590301236,0,0.219339361,0.874521941,0
H1373,1,KRAS_mutant,Everolimus,0,0,0,0,0,0,0,0,0.567138022,0.299955483,-0.420912282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22163749,0.502988797,0,0,0,0,0,0,0,0,0,0,-0.483633479,-0.126367823,-0.110124744,0,0,0.287623281,0,0,0,0,0,0,0,-0.087117007
H1437,0.080392157,Wild_type,Everolimus,0.456836489,0,0,-0.166898918,-0.584062607,-0.396687407,-0.311088645,0,-0.20468424,0.509158796,-0.34774046,0,-0.32466285,0.3769464,0,0,0.233884428,0,0,0,0,0.384527734,0,0.544090656,0,-0.569968704,0,0,0,-0.309450978,0,0.437763755,0,1.426390185,0,0,0,0.521393038,0.253573788,-0.941130786,0.64556864,-0.397329318,-0.728246196,0,-0.748088469,0,0,0,0.321072671,0.496698313,0.43274568,0,0
H1563,0.154901961,Wild_type,Everolimus,0,-0.724441076,0,-0.254830484,0,0,-0.283985059,0,0.102461512,0,-0.344962805,-1.657724034,0,-0.29570135,-0.412731612,-0.395839422,0,0,0,0,-0.668719798,-0.336823534,0,0,0,0,0,0,0,0,0,0,0.368470762,0,0,0,0,0,0,-1.803780536,0.362770488,0.20284733,-0.720007331,0,-0.233776044,-0.415145721,-2.474558487,-0.377064714,0,0,0,-2.120003863,0.30574511
H1568,0.150980392,Wild_type,Everolimus,0.454944934,0,0,-0.065183617,0.208458331,0,0,0,-0.156512812,-0.639267354,0,0,0,0,0,0,0,0,-0.379984456,0,0,-0.552900739,0,0,0,0,0,0,0,-0.344224312,0,0,0,0,0,0,0,0,0,-1.638549417,-0.226459518,0,-0.30969819,-0.219911876,0.104590551,0,-5.074024004,0,0,0,0,0,0
H1650,0.117647059,EGFR_mutant,Everolimus,0,0,0,-0.317396929,0,-0.191972244,-0.170899838,0,0,0,0,0,0,0,0,-0.305070564,0,0,0,0,0,0,0,0,0,0,0,-0.319983815,0,0,0,-0.579453075,0,0,0,0,0,-0.259778573,0,0,0,0,-0.177897789,0,0,0,-0.886852607,0,0,0,0,0,0
H1693,0.090196078,Wild_type,Everolimus,0,0,-0.501298233,-0.219570006,-0.467373227,-0.316735345,-0.345070124,-0.538279342,0.109188334,0,-0.234630226,-1.225914295,0,-0.243153365,0,-0.248083648,-0.226542434,0,0,0,-0.930359223,-0.098055852,0,0,0,0,-0.399484238,0.173505621,0,0,0,0,-0.248924561,0,0,0,0,0,0,0,0,0,0,0,0,-0.292269066,0,0,0.110710494,0,0,0,0
H1734,0.162745098,KRAS_mutant,Everolimus,0,0.27804142,0,0,0,-0.098542094,0.107243006,0,0,0,0.09715359,0,0.367529971,0,0,0,0,0,0,0,0,0,-0.892199166,0.802652371,0.121120051,0,0,0,0,0,0,0,0,0.99190499,0.579995405,0,0,0.135440153,0.363701966,-1.102997299,0.377261509,0,0.852631624,0,0.60422666,0,-0.920067393,0,0,0,0.31836782,0,0
H1755,0.229411765,BRAF_mutant,Everolimus,0,0.85439167,0,0,0.465753207,0,0.600417802,-0.24396782,0.385541214,0.661889665,0,0,0,0,0,0,0,0.225076542,0,0,0,0,0,0,0.172538692,0,0.132871365,0,0,0,0.456347431,0,0,0,0,0,0.224233107,0,-0.295595366,-2.109190627,0,0,0,0.145433959,0,0,-1.662858937,0,0,0,-0.112241133,0,0
H1781,0.201960784,Wild_type,Everolimus,0,0,0,-0.346148509,0,0,-0.414744239,0,0,0,-0.195739318,-0.643571417,0,0,-0.352835785,-0.494319269,0,0,0,0,0,0,0,0,-0.219822145,-0.25849342,0,0,0,-0.101394481,0,0.219132608,-0.274957076,0.280894009,0,0,0,0,0.323021954,-0.514815974,-0.310262029,-0.353474096,0,0,-0.195415375,-0.158872979,-0.275045934,-0.267592363,-0.126954816,0.213338527,0.436044612,0,0
H1792,0.066666667,KRAS_mutant,Everolimus,0,0,0,0.870138655,0.276278974,0.324646846,0.285148243,0,0.226385287,0,0,0,-0.48454633,0.376081221,0,0.530055475,0,0,0,0,-0.38329621,0,0,0,0,0,0,0.70220964,0,0,0.3007215,-0.315768101,0.209198637,0,0,0,0,0,0.477465713,-2.466797421,-0.365808784,0,-1.439508593,-1.088559803,0,0,-5.590723019,-0.198081337,0.365004584,0.229049754,0.161206368,0,-0.481286001
H1793,0.037254902,Wild_type,Everolimus,0.719024511,0,0,0,0,0,0,0.651548732,-0.432263467,-0.586402993,0,0,0,0,0,0,0,0,0,0,-0.216374841,-0.20666563,0,-0.241741561,0.057079335,-0.83610276,0,0,0,0,0,0,0.319598606,-0.434620278,0,0,0,0,0.35821373,-0.965242147,0,0,0,0,0,0,0,0,0.447828072,0,0.293180257,0,-0.353558442
H1838,0.084313725,Wild_type,Everolimus,0.82365613,0.496887329,-0.581308935,0.351213974,0,0.265380976,0.312745869,-0.338622354,0,0.49243847,0.311179137,0,-0.1897031,0.276620697,0.387085469,0.233768542,0.468155576,0,0,0,0,0,0,0,0.139971262,0.222208805,0.395855679,-0.509409955,0.882410758,0,0.999530826,0,0.269545048,0,0,0,0,-0.679208781,-0.199420261,-1.274575261,1.030941659,0,0,0.20317896,0.131891816,0.300383865,-0.950013527,0,0,0,0,0,0
H1944,0.12745098,KRAS_mutant,Everolimus,0.310591473,0.284376857,0,0,0,0.098501977,0,-0.544948309,0,0,0,0,-0.445369946,0,0,0,0.188578713,0,-0.679092169,-0.652643888,-0.191908867,-0.185649877,0,0,0,-0.393542729,0.114547819,0,0,0,0,0,0,0,0,0,-0.515085508,-0.355469453,0,-2.274574749,0,0.319990171,-0.313953519,-0.216627947,0,0.142738008,-5.562497957,-0.841192349,-0.19799363,0,0,-0.731875198,0
H1975,0.215686275,EGFR_mutant,Everolimus,0.580750529,1.137105924,0,-0.376203773,-0.287473795,-0.450275411,0,0.355001389,0,0.508633436,-0.446484846,0,0,-0.542004379,-0.406766761,-0.582757882,-0.427438024,0,0.383705158,1.282660563,0,0.431158795,0.23686377,-0.310240798,0.115610676,1.994765335,0.259723609,0,0.498840869,0,0,0,0,0,0,0,0,0,0,0,0.175923837,0.349463245,-0.438536623,0,0,-0.349875151,-0.485407193,0,0,0,-0.301574753,0,0
H1993,0.256862745,Wild_type,Everolimus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591336035,0,0,0,0,0,0,0,0,0,0,0.26005515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2030,0.137254902,KRAS_mutant,Everolimus,2.23625056,1.111529502,0,-0.280548322,-0.139458898,-0.204426684,-0.144705292,0,0,0.541498214,-0.221409917,0,0,0,-0.308164301,-0.228332014,-0.263533034,0,0,0,0,0.255183353,0,0,0,0,0,0,0.394381476,0,-0.323709425,0,-0.267546364,0,0,0.475645667,0,-0.486849518,-0.20081808,-1.162348605,0,0,0,0,0,-0.216678834,0,0.289959447,0,0,0,0,0
H2087,0.088235294,BRAF_mutant,Everolimus,0.585518779,1.311392517,0,-0.522121944,0,-0.796169342,-0.849804713,0.32561244,0,-0.33709005,-0.576406742,0,0,-0.699933162,-0.584363851,-0.574397094,-0.500819558,0,0,0,0,0,0,0,0,0,0,0,-0.273587108,0,-0.716235294,0.355249565,0,0,0.473432151,0,0,0,0,-2.019678446,0.226766818,0,0,0,0,-0.612149532,-2.101935405,0,0,0,0,0,0
H2122,0.496078431,KRAS_mutant,Everolimus,0,0,-0.667985539,-0.884834277,0,-0.063914216,0,-0.370058482,0,0,0,-1.72946934,0,0,0.429226635,-0.172217211,-0.147775699,0,0,0,-0.782395454,-1.538200485,-0.154211422,-0.595680883,0.143943951,0,0,-0.616317175,-1.28645126,-0.384637201,-0.982633636,0,-0.218508223,-0.847356494,-0.761762553,-1.160951885,-0.545927847,0,0,0,0,-0.654581364,0,-0.21716239,0,0,-1.079696604,0,-0.217040894,0,0,-1.216832473,-0.761625616
H2228,0.431372549,ALK_mutant,Everolimus,0.762675127,0.335278823,0.74413415,-3.161356601,0.379722724,-1.500997781,-0.982370778,0.625106226,0,0.139857482,-0.508007639,0,0,-3.231950271,-3.204127826,-2.083666909,-2.322870511,0,1.174885127,0.753355668,0,0.116834702,0,0.447461365,0.074886899,0,0.57128011,0,0.656216169,0.648200381,0,0.233525097,-0.862239459,0.87884423,0.369646249,0.309683947,0,0.298832537,0.220002655,-1.049467666,0.278766913,-1.137266578,1.137348329,0.316048433,-0.495182799,-0.720120468,-1.519946962,0,0,0,0,0.927497075,0
H2291,0.237254902,KRAS_mutant,Everolimus,0,0,0.211462165,0,0,0,0,0,0,0,0.182954151,-0.239584111,0,0,0,0,0,0,0,-0.420957526,0,0,0.594088183,0,0.244594249,0,0,0.438909766,1.127191385,0,0.256603307,-0.583012869,0,-0.79099076,0,0,0,0,0.384169017,-1.100743572,0,0.523918871,-0.853979784,-0.21140504,0,0,-2.1998077,0.532281674,0.371695761,0,0,-0.56142071,-0.359384013
H23,0.098039216,KRAS_mutant,Everolimus,0.466715714,0.816206526,0.534212903,0,0,-0.294456253,0,0.803446255,0,0,0,0,0.774051639,0,-0.064663461,0,0,0,0.631412951,0.468414071,-0.242848098,-0.299423784,0,0.273642537,0,0.159920923,0,0,0,0,0,0.589680342,0,0,0.433235255,-0.024257808,-0.311609633,0.375793362,0,-1.908866207,0,0.494387892,0,0.164511413,0.268029979,0,-1.03575164,0,0.320024644,0.091458936,0,0.341457827,0
H2347,0.121568627,KRAS_mutant,Everolimus,0,0,0,0.300593063,0,0.107054026,0,0,0,0,0,0,-0.725555312,0,0,0.226047864,0,0,0,0,0,0,0,-0.269923087,0,0,0,0,0,0,-0.644145849,-0.526285448,0,-1.699861575,-0.703627473,0.402982362,0,0,-0.14434238,-0.80532773,0,0,0,0,0.158721908,0,-0.850716793,0,0,0,0,0,0
H3122,0.4,Wild_type,Everolimus,0.537560678,0,-0.439997174,0,0,-0.121661268,0.03363818,0,0,0,0,0,-0.300689112,0.350871282,0,0,0.063223282,0,0,-0.220615977,0,0.288017908,0,0.286825105,0,0,0.515302288,0,0,0,0,-0.196543832,0,0,0,0.03546269,0,0,0,-0.216527281,0.705418307,0,-0.684359423,-0.151067169,0,0,0,0.335323623,0,-1.009678107,-0.518558435,0,0
H358,0.156862745,KRAS_mutant,Everolimus,0,0,-0.064097357,0,0,0,0,0,0,-0.379268086,0,-0.593911008,-0.432484763,0,0,0,0,0,0,0,-0.2459177,0.214599968,-0.642302491,0,-0.071041745,0,0,0,0,0,0,0,0,0,-0.58485222,0,-1.043919475,0,0.457757703,-2.671423258,-0.433206893,0,0,0,0,0,-2.63811738,0,0,0.26755967,0,0,0
H441,0.266666667,KRAS_mutant,Everolimus,0.420751392,0,-0.278998662,0,0,0,0,0,0.175674117,0,0,0,0,0,0,0,0,0,0,0,0,0.118188622,0,0,-0.137734849,-0.524806,0,0,0.329942523,0,0,0,0,0,0,0,0,0,0,-0.697032145,0,0,0,0,0,0,-0.733727997,-0.172488539,0.140367857,0.150940053,-0.342005319,0,-0.558696368
H522,0.192156863,Wild_type,Everolimus,0,0.50158231,0,-0.521799569,-0.259398752,-0.602064946,-0.336080062,0,-0.371563402,0,-0.374061937,0.755493334,1.003930811,-1.086459675,-0.446218199,-0.353814427,-0.541102708,0,0.402315364,0.148594192,0,0,0,-0.181730522,0.120573058,0.258287293,0,0.704576366,0,-0.223470466,-1.169112319,0,-0.587177188,0.357953962,0.446572868,0.133209593,-0.571007491,0,0,0,0,0.432264147,-0.671552463,0.241666451,-0.477261957,-0.690438173,-0.727140464,0,0,0,0,0.587527531,0
H820,0.260784314,EGFR_mutant,Everolimus,0,-0.330624114,-0.471693024,-0.210680386,-0.342048161,-0.186458244,-0.156584057,-1.199339799,0,0,-0.201127554,0,-0.436536054,-0.22001517,-0.32449079,-0.198801022,-0.30418992,0,-0.658119024,-0.386920178,0,0,-0.258654329,0,0,-0.680746585,0.424418257,-0.397541922,0.890621786,0,-1.096865559,-0.195733672,-0.244806682,0,-0.947685445,-0.221629108,-0.488101508,0,0,-1.934935259,0,0,-1.024746164,-0.233958693,-0.335463418,-0.170893543,-1.560813459,-0.6601271,0,-0.459057746,-1.715512004,0,0
HCC2935,0.009803922,EGFR_mutant,Everolimus,0.349941552,0,0,0,-0.250968991,-0.551403369,-0.28459381,-0.625412761,0.330964294,-0.141630447,-0.496161427,-0.393047484,-1.27626017,-0.38391083,0,-0.348618226,-0.237974825,0,0.591113308,0,0,-0.221083585,0,0,0.158257768,0,0,0,0,0,0,0.12667781,-0.538277989,0,-0.504844156,0.110238699,0,0,0.241482285,0,0,0,0,0.156593387,0,-0.511750261,-0.260869261,0.159946822,0,0,-0.176512257,0.541708014,-0.559148936
HCC4006,0.094117647,EGFR_mutant,Everolimus,0.056275538,0,0,-0.455010819,0,0,-0.268340114,0.371758835,0,0.238667008,0,0,0,0,0,-0.214359285,0,0,0.876096929,0.791316508,0,0,0,0.792062759,0.120500446,0.195540635,0,0.17565721,0.464650843,0,-0.911019636,0.411315177,0,0.636416958,0.654820408,0.137653208,0,0,0.259323624,-0.398877919,0,0,0,0.197329657,0.046029554,-0.103504906,0,0,0.228768547,0.295594076,0,0.706157552,0
HCC44,0.574509804,KRAS_mutant,Everolimus,0,0.429322137,0,0.306980414,0.259717162,0.272263668,0.296745908,0,0.705001868,1.02401248,0.377878092,0.515865576,0,0.365266374,0.344954656,0.260010939,0.442747428,0.621047813,0,0,0,0,0,0,0.10320007,0,0,0,0.459282048,0,0,0,0.421311132,0,0,0,0.109809618,-0.234151502,0,0,0,0.815425858,0,0,0.398633934,0.402341907,-0.323253075,0,-0.267314573,0.128925331,0,0,0.230463357
HCC827,0.270588235,EGFR_mutant,Everolimus,0.23027021,0.363345509,0,0,0,0,0,0,0,0,0,0.220242749,0,0,0,0,0,0,0.299179598,0,0,0,0,0,0,0,0,0,0.502060631,0.30036529,0,-0.240259117,0,-0.240587505,-0.329305336,0.431592259,-0.611068315,0,-0.203701251,-0.629123588,-0.809141057,0,0,0.284291496,-0.503572666,0,-0.524309807,0,-0.305380253,0,0,0.411325386,0
PC9,0.623529412,EGFR_mutant,Everolimus,0,0.44640514,0.824471869,0.242993993,0.162263034,0,0.254115052,-0.97938918,-0.363121104,0,0.13783322,-0.472326633,-0.532608262,0.273144983,0.178793075,0.19281301,0.309194135,0,1.464779523,1.495957808,-0.43600378,-0.863215536,-0.418730011,0,0.168845691,0.518156868,0.182144064,0,-1.47845113,0.864250077,0,0.33494771,0.122267718,0.970925316,0,1.483786266,0,1.063868777,0,0.41614727,0,-0.327848082,0,1.485695633,0,0,0.731045607,1.437314404,-0.425163089,0.562457538,0,1.216975642,0
SKLU1,0.096078431,KRAS_mutant,Everolimus,0,0.404110168,0,0,0,0,0.064348226,0,-0.061606047,-0.975682002,-0.111472758,0,0,0,-0.287731188,0,-0.291035251,0,0,0,0,-0.519677916,0,0.821504272,0,0,0,-0.343669359,0,0,0,0,0,0,0,0,0,0,-0.548575821,-1.761190771,0.602959093,-0.237886229,0,0,0,0,-2.156087182,-0.418414557,0,0.650247086,-0.268786019,0,0
A549,0.525503237,KRAS_mutant,GDC0941,0.786629181,0,0,0.454732584,0.369561682,0.646704046,0.402293705,0,0,0,0.523653328,0,0,0.466841879,0.424526935,0.588466976,0.547187051,0,0,0,0,0,0,0,0.109499326,0.302041375,0,0,0,0,0,0,0.350071345,0,0,0,0,0,0,0.198561466,0,0,0.279295716,0.552071508,0.524516746,0.619434321,-0.764894369,0,0,0.150372084,0,0,0
CORL105,0.414025898,Wild_type,GDC0941,-0.332587813,-1.031768746,0,0.294156089,0,0.132442645,-0.114925544,0,0,-0.53178488,0,0,0.524130411,0,0.064568166,0,0.097789943,0,0.276959094,0.25092026,0,0,0.463878793,0.546093556,0,0,0,0,0,0.674705878,0,0,0,0.973699826,1.181140955,0,0,0.729753849,0,-0.705634515,0,-0.457591366,-0.324160635,0,-0.24342985,0,-0.8899865,-0.481771891,-0.162202696,0,0.159109784,-0.240736098,0
H1373,0.654061212,KRAS_mutant,GDC0941,0,0,0,0,0,0,-0.136486303,0,0.296755518,0.318953482,0,-0.27708663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141891178,-0.201737525,0,0,0,0,0,0,0,0,-0.398049608,0,-0.385220841,-0.870034244,-0.142993735,0,-1.901851588,0,0,0,-1.243044342,0,0,-0.09588523,0,-0.874144727,-0.203278592
H1437,0.162371984,Wild_type,GDC0941,-0.757981614,0,-0.303149438,0.404258881,0,0,0.279597508,0,-0.106218343,-0.567462014,0,-0.258644453,-0.31594399,0.522300987,0,0.399422938,0.299174244,-0.729789032,0,0,-0.396782267,0,0,0,-0.854325224,-0.230024545,0,0,0,-1.506567079,0,0,0,-0.570318522,0,0,0,0,-0.315252381,-0.859017811,-1.338295028,0,-0.809262424,0,0,0.269018511,0,-0.578286787,0,-0.308117881,0.068842919,0,0
H1563,0.091071218,Wild_type,GDC0941,0,0,0,0.144438278,0,0,0.193925715,0,0,-0.227686999,0,-2.680511108,0,0,0,0,0,-0.441299507,0,0,-1.089942403,-0.303654202,0,0,0.126793907,0,0,0,0,0,0,0,0,0,0,0,-0.543774216,-0.713736819,0,-1.08757718,0,-0.481253131,-0.72312737,0,0.18226579,0,-2.122646991,-0.43571724,0,0,0,0,-0.159532676
H1568,0.603884638,Wild_type,GDC0941,0,0,0,0,0,0,-0.092967699,0,-0.228795894,-0.45954713,-0.264022835,0,-0.574177548,0,-0.319953417,0,0,0,-0.84660848,-0.968181348,0,0,0,0,-0.1455067,0,0,0,0,0,0,0,-0.150223268,-1.018356121,-1.270898839,-0.376775963,0,0,0,-1.04013119,-0.377454576,0,-1.294303734,-0.397128232,-0.128811619,0,-2.697727564,-0.359372105,0,0,0,-1.611259595,-0.32565356
H1650,0.877969394,EGFR_mutant,GDC0941,0,-0.440409075,0,-0.205056489,0,0,-0.154680407,0,0,0.993604718,0,0.50050025,0,-0.494046278,0,-0.217915618,0,0,0.704393302,0.395575314,0,0.482037161,0,0,0,0,0,0,0,1.075604188,0,0.418277514,0,0.803848068,0,0.284465305,0,0.074001219,0,0,0,0,0,0,0.213258748,0,0,0,0,0,0.474326461,0.584020404,0
H1693,0.666421424,Wild_type,GDC0941,0,-0.60571271,0,0,0.554367842,0,0,-0.221287029,-0.091928819,0,0,-0.608536856,0,0,0,0,0,0,0,0,0,0.255552817,0,0,0,0,0,-0.154324466,-0.643603619,0,0,0.427622393,-0.052853674,0,0,0.351359791,0,1.00151088,0,-2.631158046,-0.26275669,0,-1.025069498,0,0,0,-4.124184051,0.114733315,-0.116356617,0,0,0,0.263915465
H1734,0.741612713,KRAS_mutant,GDC0941,0,-0.224731024,0,0,0,-0.158489007,0,0,0,0,0,0,0.468209886,0,0,0,0,0,0,0,0,0,-0.975797347,1.153599847,0,0,0,0,0,0,-0.266257813,0.161934238,0,0.817784699,0.531162641,0,0,0.306655871,0,-1.120054625,0.457162059,-0.473890587,-0.935770713,0,0.050600343,0,-0.712280539,-0.392579972,0.375287405,0,0,0,0
H1755,0.19433196,BRAF_mutant,GDC0941,0,0,-0.488633703,0,0,0,0,-0.714398111,0.370775096,0,0,0,0,0,0,0,0,-0.882798981,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168068605,0,0,0,0,-0.730918155,0,0,-0.679090937,0,0,0,-0.04698286,0,0,-0.88262329,0,-0.300996821,0,-0.388325185,-1.013600872,0
